Datetime,Open,High,Low,Close,Volume
2021-04-05 04:25:00-04:00,402.41,402.43,402.31,402.35,0
2021-04-05 04:30:00-04:00,402.32,402.54,402.32,402.54,0
2021-04-05 04:35:00-04:00,402.52,402.56,402.49,402.49,0
2021-04-05 04:40:00-04:00,402.46,402.51,402.42,402.51,0
2021-04-05 04:45:00-04:00,402.44,402.49,402.44,402.46,0
2021-04-05 04:50:00-04:00,402.47,402.49,402.45,402.47,0
2021-04-05 04:55:00-04:00,402.46,402.46,402.38,402.41,0
2021-04-05 05:00:00-04:00,402.39,402.42,402.3,402.42,0
2021-04-05 05:05:00-04:00,402.41,402.5,402.41,402.5,0
2021-04-05 05:10:00-04:00,402.49,402.51,402.45,402.49,0
2021-04-05 05:15:00-04:00,402.48,402.48,402.44,402.46,0
2021-04-05 05:20:00-04:00,402.47,402.53,402.47,402.52,0
2021-04-05 05:25:00-04:00,402.51,402.66,402.51,402.66,0
2021-04-05 05:30:00-04:00,402.66,402.74,402.63,402.71,0
2021-04-05 05:35:00-04:00,402.71,402.74,402.69,402.7,0
2021-04-05 05:40:00-04:00,402.71,402.77,402.7,402.77,0
2021-04-05 05:45:00-04:00,402.71,402.76,402.71,402.74,0
2021-04-05 05:50:00-04:00,402.71,402.72,402.67,402.67,0
2021-04-05 05:55:00-04:00,402.7,402.7,402.67,402.69,0
2021-04-05 06:00:00-04:00,402.67,402.68,402.59,402.59,0
2021-04-05 06:05:00-04:00,402.57,402.61,402.52,402.61,0
2021-04-05 06:10:00-04:00,402.57,402.59,402.54,402.56,0
2021-04-05 06:15:00-04:00,402.59,402.74,402.59,402.71,0
2021-04-05 06:20:00-04:00,402.71,402.74,402.69,402.74,0
2021-04-05 06:25:00-04:00,402.74,402.86,402.74,402.81,0
2021-04-05 06:30:00-04:00,402.8,402.88,402.76,402.85,0
2021-04-05 06:35:00-04:00,402.85,402.85,402.79,402.82,0
2021-04-05 06:40:00-04:00,402.85,402.86,402.82,402.82,0
2021-04-05 06:45:00-04:00,402.82,402.84,402.71,402.71,0
2021-04-05 06:50:00-04:00,402.7,402.75,402.66,402.75,0
2021-04-05 06:55:00-04:00,402.71,402.79,402.71,402.79,0
2021-04-05 07:00:00-04:00,402.79,402.79,402.65,402.76,0
2021-04-05 07:05:00-04:00,402.77,402.86,402.77,402.84,0
2021-04-05 07:10:00-04:00,402.84,402.94,402.8,402.94,0
2021-04-05 07:15:00-04:00,402.94,402.97,402.85,402.9,0
2021-04-05 07:20:00-04:00,402.92,402.99,402.92,402.95,0
2021-04-05 07:25:00-04:00,402.95,403.0,402.92,402.95,0
2021-04-05 07:30:00-04:00,402.95,402.95,402.84,402.9,0
2021-04-05 07:35:00-04:00,402.89,402.94,402.88,402.9,0
2021-04-05 07:40:00-04:00,402.89,402.95,402.77,402.78,0
2021-04-05 07:45:00-04:00,402.78,402.8,402.75,402.77,0
2021-04-05 07:50:00-04:00,402.8,402.82,402.73,402.78,0
2021-04-05 07:55:00-04:00,402.8,402.86,402.77,402.85,0
2021-04-05 08:00:00-04:00,402.85,402.9796,401.72,402.9,0
2021-04-05 08:05:00-04:00,402.87,402.93,402.76,402.8,0
2021-04-05 08:10:00-04:00,402.8,402.82,402.75,402.75,0
2021-04-05 08:15:00-04:00,402.75,402.79,402.74,402.77,0
2021-04-05 08:20:00-04:00,402.77,402.89,402.71,402.87,0
2021-04-05 08:25:00-04:00,402.87,403.0,402.84,402.91,0
2021-04-05 08:30:00-04:00,402.91,402.97,402.89,402.97,0
2021-04-05 08:35:00-04:00,402.94,403.3,402.92,403.27,0
2021-04-05 08:40:00-04:00,403.25,403.32,403.25,403.31,0
2021-04-05 08:45:00-04:00,403.3,403.4,403.29,403.37,0
2021-04-05 08:50:00-04:00,403.37,403.44,400.61,403.34,0
2021-04-05 08:55:00-04:00,403.36,403.44,403.33,403.33,0
2021-04-05 09:00:00-04:00,403.36,403.38,403.27,403.28,0
2021-04-05 09:05:00-04:00,403.26,403.35,403.25,403.33,0
2021-04-05 09:10:00-04:00,403.33,403.39,403.32,403.365,0
2021-04-05 09:30:00-04:00,403.4599914550781,404.239990234375,403.3800048828125,404.1300048828125,3731621
2021-04-05 09:35:00-04:00,404.1300048828125,404.29998779296875,403.9100036621094,403.95001220703125,1770106
2021-04-05 09:40:00-04:00,403.95001220703125,404.1099853515625,403.8800048828125,403.9914855957031,1770495
2021-04-05 09:45:00-04:00,403.9914855957031,404.4220886230469,403.9914855957031,404.3500061035156,1142687
2021-04-05 09:50:00-04:00,404.3450012207031,404.5299987792969,404.2699890136719,404.4200134277344,1251294
2021-04-05 09:55:00-04:00,404.4100036621094,404.6300048828125,404.4100036621094,404.54998779296875,1467574
2021-04-05 10:00:00-04:00,404.57000732421875,404.70001220703125,404.2200012207031,404.54998779296875,1724622
2021-04-05 10:05:00-04:00,404.5450134277344,404.760009765625,404.4150085449219,404.70001220703125,1360712
2021-04-05 10:10:00-04:00,404.70001220703125,404.8299865722656,404.6099853515625,404.7900085449219,1422496
2021-04-05 10:15:00-04:00,404.79998779296875,405.2900085449219,404.79998779296875,405.2799987792969,1702369
2021-04-05 10:20:00-04:00,405.2799987792969,405.489990234375,405.2099914550781,405.39801025390625,1727034
2021-04-05 10:25:00-04:00,405.3999938964844,405.4400939941406,405.2300109863281,405.30999755859375,1199785
2021-04-05 10:30:00-04:00,405.3099060058594,405.6000061035156,405.29998779296875,405.5899963378906,1628456
2021-04-05 10:35:00-04:00,405.5899963378906,405.67999267578125,405.4200134277344,405.6650085449219,3007649
2021-04-05 10:40:00-04:00,405.66009521484375,405.94000244140625,405.66009521484375,405.90008544921875,1233667
2021-04-05 10:45:00-04:00,405.9200134277344,406.0299987792969,405.8999938964844,405.9599914550781,525107
2021-04-05 10:50:00-04:00,405.9700012207031,405.989990234375,405.6600036621094,405.6600036621094,1006759
2021-04-05 10:55:00-04:00,405.6650085449219,405.8500061035156,405.5715026855469,405.6300048828125,1152661
2021-04-05 11:00:00-04:00,405.6300048828125,405.7112121582031,405.4849853515625,405.69500732421875,801181
2021-04-05 11:05:00-04:00,405.70001220703125,405.8399963378906,405.68499755859375,405.8399963378906,447533
2021-04-05 11:10:00-04:00,405.8500061035156,405.9700012207031,405.8100891113281,405.8500061035156,1040071
